latitude,longitude,bright_ti4,acq_date,,,
-14.86335,144.54778,339.8,1,,,
-14.87776,144.5575,345.6,1,,,
-14.97527,144.66824,326.3,1,,,
-15.00288,144.66695,336,1,,,
-15.00352,144.6636,367,1,,,
-15.00153,144.66554,341.3,1,,,
-14.82762,144.31758,328,1,,,
-15.00678,144.6666,347.2,1,,,
-14.83278,144.31862,343,1,,,
-14.92647,144.91653,340.7,1,,,
-14.94776,144.89307,349.2,1,,,
-14.9563,144.87779,326.2,1,,,
-14.9577,144.89906,339.2,1,,,
-14.95633,144.93459,329.5,1,,,
-14.95568,144.93788,333.3,1,,,
-14.95932,144.90157,327.2,1,,,
-14.95236,144.93591,336.1,1,,,
-15.00495,144.84027,325.8,1,,,
-14.98108,144.82138,325.3,1,,,
-14.95288,144.81047,328.4,1,,,
-14.56589,143.1376,346,1,,,
-14.94822,144.80608,327.9,1,,,
-14.93895,144.82507,355.9,1,,,
-14.91842,144.84491,329.5,1,,,
-14.56174,143.13951,341.1,1,,,
-14.91506,144.83391,367,1,,,
-14.91442,144.83714,325.3,1,,,
-14.91698,144.82423,333.2,1,,,
-14.90974,144.83282,339.9,1,,,
-15.01613,144.86748,325.9,1,,,
-14.90167,144.84549,328.3,1,,,
-14.89384,144.85695,356.5,1,,,
-14.89443,144.85397,342.9,1,,,
-16.10999,136.64868,339.2,1,,,
-16.11057,136.64502,343.5,1,,,
-16.11173,136.6377,350.8,1,,,
-16.1123,136.63405,348.7,1,,,
-16.13337,136.67517,352,1,,,
-15.07691,144.93848,325.8,1,,,
-15.0471,144.97562,329.5,1,,,
-14.84676,144.3017,345.9,1,,,
-15.0773,144.923,326.7,1,,,
-15.04449,144.9771,328.3,1,,,
-14.84615,144.30486,367,1,,,
-14.85192,144.30272,341.3,1,,,
-14.8507,144.30904,346.2,1,,,
-14.85009,144.31221,328.8,1,,,
-15.04516,144.97369,337.1,1,,,
-14.85131,144.30588,367,1,,,
-14.85586,144.31006,329.4,1,,,
-14.85628,144.31123,327,1,,,
-15.02784,144.97672,327.2,1,,,
-15.04199,144.90489,331.7,1,,,
-15.03663,144.90395,331.5,1,,,
-14.83217,144.32176,350.2,1,,,
-14.83156,144.32492,333.4,1,,,
-14.83672,144.32591,336.4,1,,,
-14.83611,144.32909,339.9,1,,,
-14.84128,144.33012,327.5,1,,,
-14.84067,144.33328,329.8,1,,,
-14.84006,144.33641,345.7,1,,,
-14.83946,144.33955,354.9,1,,,
-14.84462,144.34061,367,1,,,
-14.86316,144.32785,353.8,1,,,
-14.86255,144.33101,367,1,,,
-14.85892,144.32484,334.2,1,,,
-14.85829,144.328,326.5,1,,,
-14.86284,144.33214,367,1,,,
-14.86409,144.32582,338.9,1,,,
-14.86347,144.32898,354,1,,,
-16.10895,136.63348,338.9,1,,,
-16.23882,136.75688,338,1,,,
-15.04822,144.54146,325.4,1,,,
-16.16931,136.64352,350.3,1,,,
-16.16261,136.64243,353.4,1,,,
-15.35809,142.2408,341.4,1,,,
-14.84875,144.37582,330.2,1,,,
-14.86496,144.40266,347.6,1,,,
-15.35935,142.24681,349.9,1,,,
-14.8494,144.3726,367,1,,,
-15.37455,142.30084,332.6,1,,,
-15.36216,142.25682,347.7,1,,,
-15.36828,142.24855,330.1,1,,,
-14.28795,141.88541,337.3,1,,,
-15.35489,142.24596,350.4,1,,,
-15.36299,142.25224,331.3,1,,,
-15.37368,142.30542,330.3,1,,,
-15.30662,142.23192,332,1,,,
-15.35799,142.27977,332.3,1,,,
-14.84941,144.37157,367,1,,,
-15.35101,142.29271,330.3,1,,,
-14.77157,141.68262,335.2,1,,,
-14.29239,141.88625,330.1,1,,,
-14.84685,144.35844,335.6,1,,,
-14.77592,141.68346,333.2,1,,,
-15.35572,142.24138,348.1,1,,,
-15.37006,142.29999,343.3,1,,,
-14.28877,141.88089,343.4,1,,,
-14.84936,144.34586,331.6,1,,,
-15.34569,142.29642,337.8,1,,,
-14.8475,144.35515,331.6,1,,,
-14.84874,144.34894,367,1,,,
-14.84739,144.35408,329,1,,,
-15.35636,142.24991,339.1,1,,,
-16.90311,122.7678,333.3,1,,,
-15.34485,142.30101,330.4,1,,,
-14.23803,141.84401,341.4,1,,,
-15.36169,142.2462,367,1,,,
-14.84799,144.35097,349.6,1,,,
-14.85716,144.38766,326.5,1,,,
-14.8617,144.39195,345.8,1,,,
-15.61309,135.69156,345.5,1,,,
-14.86368,144.40913,329.5,1,,,
-14.85849,144.4081,333.9,1,,,
-14.84858,144.3479,367,1,,,
-15.37109,142.25858,335.6,1,,,
-15.36975,142.25247,334,1,,,
-14.84813,144.35202,340.4,1,,,
-14.86432,144.40591,367,1,,,
-15.36356,142.26074,330.1,1,,,
-15.60976,135.69101,350.2,1,,,
-15.3485,142.30649,350.5,1,,,
-14.85913,144.40488,367,1,,,
-15.36745,142.25311,332.9,1,,,
-15.35852,142.25139,350.2,1,,,
-14.34772,143.57346,332.9,1,,,
-14.85726,144.3867,336,1,,,
-14.84677,144.35735,340.3,1,,,
-15.3468,142.30028,342,1,,,
-15.37163,142.26707,340.6,1,,,
-14.84878,144.37482,351.3,1,,,
-15.36083,142.25076,346.4,1,,,
-14.34744,143.5762,332.7,1,,,
-15.36732,142.28995,332.3,1,,,
-15.35722,142.24536,367,1,,,
-15.36382,142.24768,343.5,1,,,
-15.31192,142.22826,332.5,1,,,
-14.32487,143.50545,330.4,1,,,
-15.34933,142.3019,339.1,1,,,
-14.85977,144.40164,341.7,1,,,
-14.86758,144.41663,326.4,1,,,
-15.35996,142.25531,347.7,1,,,
-14.86822,144.41339,326.9,1,,,
-15.36019,142.24225,343.4,1,,,
-14.84402,144.34372,354.6,1,,,
-14.86624,144.39618,333.5,1,,,
-14.39112,141.59142,336.6,1,,,
-15.3147,142.23822,344.4,1,,,
-14.38676,141.59061,344.9,1,,,
-14.2247,141.74045,333.9,1,,,
-15.75342,137.06668,336.9,1,,,
-15.75522,137.05545,344.3,1,,,
-15.75581,137.05171,338.9,1,,,
-14.05727,142.31947,332.2,1,,,
-14.05543,142.32922,337.4,1,,,
-13.30445,142.04265,331.7,1,,,
-13.42321,141.77838,334.1,1,,,
-15.56266,128.74901,348.8,1,,,
-13.39316,142.63142,347.6,1,,,
-13.99783,141.82382,332.6,1,,,
-14.01845,141.78592,330.6,1,,,
-13.39077,142.29242,334.7,1,,,
-13.14778,141.63692,330.8,1,,,
-14.05695,142.32635,336.2,1,,,
-14.05784,142.32144,333.9,1,,,
-14.05059,142.33525,331.3,1,,,
-14.05148,142.33031,333.5,1,,,
-13.15669,141.63863,330.5,1,,,
-13.16114,141.63953,342.4,1,,,
-11.99944,141.8766,347.3,1,,,
-12.01135,141.86371,333.4,1,,,
-12.01046,141.86856,330.7,1,,,
-15.56716,128.74959,352.2,1,,,
-13.23657,142.00191,350.2,1,,,
-13.2357,142.00673,350.9,1,,,
-13.24115,142.00267,332.6,1,,,
-13.24029,142.00751,343.1,1,,,
-12.0087,141.87827,351.4,1,,,
-13.23942,142.01234,343.6,1,,,
-13.24487,142.00822,349.5,1,,,
